"","species1","species2","SI","site"
"316","Mertensia_ciliata","Linaria_vulgaris",NA,"Road"
"317","Dasiphora_fruticosa","Linaria_vulgaris"," 1.182266e-01","Road"
"318","Potentilla_gracilis","Linaria_vulgaris"," 0.000000e+00","Road"
"319","Ranunculus_inamoenus","Linaria_vulgaris"," 0.000000e+00","Road"
"320","Taraxacum_officinale","Linaria_vulgaris"," 0.000000e+00","Road"
"321","Valeriana_occidentalis","Linaria_vulgaris"," 0.000000e+00","Road"
"322","Veratrum_tenuipetalum","Linaria_vulgaris"," 0.000000e+00","Road"
"323","Achillea_millefolium","Lupinus_bakeri"," 8.571429e-02","Road"
"324","Agoseris_aurantiaca","Lupinus_bakeri"," 8.571429e-02","Road"
"325","Androsace_septentrionalis","Lupinus_bakeri"," 6.000000e-01","Road"
"326","Artemisia_tridentata","Lupinus_bakeri"," 0.000000e+00","Road"
"327","Chrysothamnus_viscidiflorus","Lupinus_bakeri"," 0.000000e+00","Road"
"328","Cirsium_arvense","Lupinus_bakeri"," 0.000000e+00","Road"
"329","Collomia_linearis","Lupinus_bakeri"," 3.914916e-01","Road"
"330","Delphinium_nelsonii","Lupinus_bakeri"," 1.110223e-16","Road"
"331","Erigeron_speciosus","Lupinus_bakeri"," 8.989839e-02","Road"
"332","Eriogonum_umbellatum","Lupinus_bakeri"," 2.756614e-01","Road"
"333","Gayophytum_diffusum","Lupinus_bakeri"," 0.000000e+00","Road"
"334","Geranium_richardsonii","Lupinus_bakeri"," 3.747899e-01","Road"
"335","Lathyrus_leucanthus","Lupinus_bakeri"," 5.873016e-01","Road"
"336","Linaria_vulgaris","Lupinus_bakeri"," 0.000000e+00","Road"
"337","Lupinus_bakeri","Lupinus_bakeri"," 0.000000e+00","Road"
"338","Madia_glomerata","Lupinus_bakeri"," 0.000000e+00","Road"
"339","Mertensia_ciliata","Lupinus_bakeri",NA,"Road"
"340","Dasiphora_fruticosa","Lupinus_bakeri"," 2.817734e-01","Road"
"341","Potentilla_gracilis","Lupinus_bakeri"," 3.714286e-01","Road"
"342","Ranunculus_inamoenus","Lupinus_bakeri"," 2.857143e-02","Road"
"343","Taraxacum_officinale","Lupinus_bakeri"," 5.833333e-01","Road"
"344","Valeriana_occidentalis","Lupinus_bakeri"," 1.110223e-16","Road"
"345","Veratrum_tenuipetalum","Lupinus_bakeri"," 0.000000e+00","Road"
